No.,UDI
1,R2.x220.000:0007
2,R4.x262.000:0037
3,R4.x260.000:0092
4,R4.x265.000:0057
5,R4.x265.000:0056
6,R4.x263.000:0048
7,R4.x265.000:0055
8,R4.x263.000:0047
9,R4.x263.000:0046
10,R6.x830.000:0001
11,R4.x263.000:0044
12,R4.x265.000:0053
13,R4.x265.000:0052
14,R4.x257.000:0016
15,R4.x263.000:0043
16,R4.x257.000:0015
17,R5.x291.000:0008
18,R4.x263.000:0041
19,R1.x137.000:0024
20,R2.x220.000:0006
21,R1.x137.000:0023
22,R4.x263.000:0040
23,R4.x263.000:0039
24,R4.x263.000:0038
25,R4.x263.000:0037
26,R1.x137.000:0022
27,R4.x263.000:0036
28,R4.x263.000:0035
29,R4.x263.000:0034
30,R4.x267.000:0051
31,R1.x137.000:0021
32,R4.x263.000:0033
33,R1.x137.000:0020
34,R4.x264.000:0056
35,R1.x137.000:0019
36,R4.x263.000:0032
37,R1.x137.000:0017
38,R4.x263.000:0031
39,R4.x263.000:0030
40,R4.x263.000:0029
41,R1.x137.000:0016
42,R1.x137.000:0015
43,R1.x137.000:0014
44,R1.x137.000:0013
45,R1.x137.000:0012
46,R4.x267.000:0037
47,R4.x267.000:0035
48,R4.x262.000:0021
49,R4.x265.000:0026
50,R4.x264.000:0033
51,R4.x263.000:0028
52,R5.x291.000:0006
53,R1.x137.000:0009
54,R2.x220.000:0005
55,R4.x263.000:0025
56,R1.x137.000:0008
57,R1.x137.000:0007
58,R4.x265.000:0022
59,R4.x265.000:0021
60,R4.x265.000:0020
61,R2.x225.000:0006
62,R2.x225.000:0005
63,R4.x263.000:0024
64,R4.x263.000:0023
65,R2.x225.000:0002
66,FL.x707.000:0001
67,R4.x267.000:0020
68,R4.x267.000:0019
69,R4.x267.000:0018
70,R2.x211.000:0012
71,R2.x211.000:0011
72,R2.x213.000:0007
73,R4.x263.000:0020
74,R4.x267.000:0016
75,R4.x267.000:0015
76,R2.x222.000:0013
77,R4.x263.000:0019
78,R4.x263.000:0018
79,R4.x268.000:0047
80,R4.x257.000:0010
81,R4.x263.000:0017
82,R4.x263.000:0016
83,R4.x263.000:0015
84,R4.x265.000:0013
85,R4.x267.000:0006
86,R1.x139.000:0001
87,R1.x137.000:0005
88,R1.x137.000:0004
89,R2.x223.000:0005
90,R4.x263.000:0012
91,R4.x263.000:0011
92,R4.x263.000:0010
93,R4.x263.000:0009
94,R4.x263.000:0008
95,R4.x263.000:0007
96,R4.x263.000:0006
97,R4.x263.000:0005
98,R5.x291.000:0004
99,FL.x710.000:0001
100,R1.x137.000:0003
101,R1.x137.000:0002
102,R2.x226.000:0007
103,R4.x258.000:0008
104,R4.x260.000:0043
105,R4.x260.000:0042
106,R4.x263.000:0004
107,R4.x265.000:0005
108,R4.x264.000:0004
109,R1.x140.000:0001
110,R4.x263.000:0003
111,R1.x141.000:0001
112,R4.x267.000:0003
113,R4.x267.000:0002
114,R4.x267.000:0001
115,R4.x265.000:0004
116,R4.x263.000:0002
117,R2.x220.000:0004
118,R2.x220.000:0003
119,R2.x220.000:0002
120,R4.x258.000:0001
121,R4.x263.000:0001
122,R4.x260.000:0001
123,R4.x263.189:0009
124,R5.x291.000:0002
125,R4.x263.188:0006
126,R4.x257.227:0020
127,R4.x257.227:0019
128,R4.x257.227:0018
129,R4.x260.204:0033
130,R4.x263.188:0005
131,R4.x263.188:0004
132,R4.x263.188:0003
133,R4.x263.188:0002
134,R4.x265.242:0002
135,R4.x263.189:0008
136,R4.x263.189:0007
137,R4.x263.189:0006
138,R4.x264.196:0010
139,BP.x750.000:0028
140,BP.x750.000:0027
141,BP.x750.000:0025
142,BP.x750.000:0023
143,BP.x750.000:0022
144,BP.x750.000:0019
145,BP.x750.000:0016
146,BP.x750.000:0012
147,BP.x750.000:0011
148,R5.x269.000:0001
149,R4.x265.241:0006
150,R4.x259.191:0019
151,R4.x259.191:0018
152,R4.x259.191:0017
153,R1.x138.077:0028
154,R4.x264.196:0008
155,R4.x263.189:0005
156,R4.x263.189:0004
157,R5.x291.000:0001
158,R4.x268.186:0004
159,R4.x267.180:0026
160,R4.x267.179:0026
161,R4.x259.190:0010
162,R4.x268.184:0006
163,R4.x267.180:0024
164,R1.x138.077:0026
165,R4.x265.252:0002
166,R4.x265.252:0001
167,R4.x259.191:0015
168,R4.x259.191:0014
169,R4.x262.212:0005
170,R1.x141.066:0071
171,R4.x267.182:0004
172,R4.x267.182:0003
173,R4.x267.181:0006
174,R4.x263.189:0003
175,R4.x267.177:0004
176,R4.x268.186:0002
177,R4.x267.180:0007
178,R4.x267.180:0006
179,R4.x267.180:0005
180,R4.x267.180:0004
181,R4.x259.190:0008
182,R4.x259.190:0007
183,R1.x137.130:0017
184,R1.x139.143:0055
185,R1.x137.132:0013
186,R1.x137.132:0012
187,R4.x259.190:0006
188,R1.x137.132:0011
189,R1.x137.132:0010
190,R4.x265.250:0003
191,R1.x137.132:0009
192,R1.x134.073:0035
193,R1.x138.078:0033
194,R1.x138.078:0032
195,R1.x138.079:0064
196,R4.x263.189:0002
197,R1.x141.066:0067
198,R1.x134.073:0033
199,R1.x139.144:0033
200,R1.x132.134:0127
201,R2.x215.000:0002
202,Y1.x010.000:0001
203,R4.x268.184:0001
204,R4.x265.246:0001
205,R4.x265.237:0005
206,R1.x137.132:0008
207,R1.x137.130:0016
208,R1.x137.132:0007
209,R1.x132.136:0024
210,R1.x140.125:0018
211,R1.x140.126:0010
212,R1.x140.126:0009
213,R1.x132.135:0012
214,R4.x259.191:0004
215,R1.x140.126:0008
216,R1.x135.120:0017
217,R1.x140.124:0004
218,R4.x257.228:0010
219,R4.x259.190:0002
220,R4.x257.229:0003
221,R4.x257.229:0002
222,R1.x141.064:0077
223,R4.x257.227:0005
224,R4.x257.230:0022
225,R4.x257.230:0021
226,R4.x257.230:0020
227,R4.x257.230:0015
228,R1.x135.120:0015
229,R1.x135.120:0014
230,R1.x135.120:0013
231,R1.x141.066:0060
232,R1.x141.066:0059
233,R4.x263.187:0001
234,R4.x263.188:0001
235,R4.x262.212:0002
236,R1.x141.064:0070
237,R1.x138.080:0022
238,R2.x218.000:0003
239,Y1.x066.000:0002
240,R4.x264.219:0002
241,R4.x264.220:0001
242,R4.x257.227:0002
243,R4.x257.230:0005
244,Y1.x103.000:0004
245,R3.x174.000:0004
246,R4.x257.230:0001
247,R4.x264.196:0002
248,R2.x229.000:0004
249,Y1.x027.000:0005
250,R1.x134.073:0022
251,R1.x137.130:0015
252,R1.x141.066:0051
253,R1.x141.064:0061
254,R1.x139.144:0030
255,R1.x139.144:0029
256,R1.x141.066:0048
257,R1.x139.145:0012
258,R1.x134.114:0011
259,R1.x134.114:0010
260,R1.x134.114:0009
261,R1.x137.130:0014
262,R1.x137.130:0013
263,R1.x137.130:0012
264,R1.x138.078:0029
265,R1.x139.145:0011
266,R1.x141.064:0053
267,Y1.x042.000:0007
268,Y1.x053.000:0001
269,Y1.x030.000:0006
270,R1.x139.143:0036
271,R1.x138.079:0053
272,Y1.x057.000:0002
273,R1.x139.143:0035
274,Y1.x244.000:0001
275,R1.x140.126:0006
276,R1.x139.144:0021
277,R1.x135.121:0011
278,R1.x135.121:0010
279,R1.x139.144:0018
280,Y1.x249.000:0004
281,Y1.x249.000:0003
282,Y1.x249.000:0002
283,Y1.x122.044:0001
284,Y1.x122.038:0002
285,Y1.x122.038:0001
286,Y1.x018.000:0006
287,Y1.x049.000:0001
288,R1.x140.126:0005
289,Y1.x052.000:0001
290,Y1.x101.000:0001
291,Y1.x046.000:0002
292,R1.x139.144:0017
293,R1.x139.144:0016
294,R1.x139.144:0015
295,Y1.x153.000:0003
296,R1.x141.064:0051
297,Y1.x038.000:0001
298,Y1.x042.000:0006
299,Y1.x042.000:0005
300,Y1.x042.000:0004
301,Y1.x042.000:0003
302,Y1.x042.000:0002
303,Y1.x042.000:0001
304,Y1.x040.000:0005
305,Y1.x040.000:0001
306,Y1.x048.000:0003
307,R1.x140.125:0008
308,R1.x138.080:0014
309,R1.x141.066:0033
310,R1.x141.064:0043
311,Y1.x048.000:0001
312,R1.x137.130:0011
313,R1.x137.130:0010
314,R1.x137.130:0009
315,R1.x141.066:0021
316,R1.x139.143:0015
317,R1.x139.143:0013
318,R1.x139.143:0012
319,R1.x139.143:0011
320,R1.x139.144:0013
321,R2.x220.000:0001
322,Y1.x050.000:0001
323,R1.x139.142:0006
324,Y1.x086.000:0004
325,Y1.x086.000:0003
326,Y1.x086.000:0002
327,Y1.x083.000:0005
328,R1.x137.131:0010
329,R1.x137.131:0009
330,R1.x137.131:0008
331,Y1.x031.000:0004
332,R1.x138.079:0044
333,R1.x139.143:0008
334,R1.x135.121:0006
335,Y1.x037.000:0001
336,R1.x135.119:0005
337,Y1.x249.000:0001
338,R1.x141.064:0031
339,R2.x229.000:0001
340,R1.x138.076:0003
341,R1.x138.079:0004
342,R1.x141.064:0023
343,R1.x141.066:0017
344,R1.x141.064:0022
345,R1.x141.064:0021
346,R1.x140.125:0006
347,R1.x137.130:0007
348,R1.x137.130:0006
349,R3.x164.000:0001
350,R3.x177.000:0001
351,R1.x132.134:0051
352,R1.x132.136:0004
353,R1.x132.139:0004
354,R1.x135.118:0007
355,R1.x135.121:0005
356,R1.x139.145:0005
357,R1.x139.144:0008
358,R1.x139.144:0004
359,R1.x139.142:0002
360,R1.x139.143:0003
361,R1.x137.132:0005
362,R1.x137.131:0006
363,R1.x137.130:0004
364,R1.x137.130:0003
365,R1.x141.064:0001
366,R1.x134.114:0001
367,R1.x140.128:0001
368,R1.x135.120:0002
369,R1.x135.121:0001
370,R1.x135.120:0003
371,R1.x135.117:0001
372,R1.x137.108:0004
373,R1.x137.130:0001
374,R1.x137.108:0007
375,R1.x137.108:0005
376,R1.x137.108:0001
377,R1.x137.132:0002
378,R1.x137.130:0002
379,R1.x137.132:0001
380,Y1.x028.000:0001
381,Y1.x110.030:0001
382,Y1.x081.000:0001
383,Y1.x100.000:0003
384,R1.x137.131:0001
385,Y1.x068.000:0001
386,Y1.x027.000:0001
387,Y1.x114.000:0001
